outcome,treatment,w,est,se,ci_lo,ci_hi,n_imps,outcome_label,treatment_label,baseline,est_rel,ci_lo_rel,ci_hi_rel
O1_rr_index,C_nat_econ_last,1,2.931837888306175,0.013414870506289762,2.905544742113847,2.958131034498503,3,Racial resentment index,National retrospective economic pessimism,3.0345748692259287,-0.10273698091975358,-0.1290301271120815,-0.07644383472742566
O1_rr_index,C_nat_econ_last,2,2.9832063787660523,0.012992882718040055,2.957740328638694,3.008672428893411,3,Racial resentment index,National retrospective economic pessimism,3.0345748692259287,-0.05136849045987635,-0.07683454058723482,-0.025902440332517873
O1_rr_index,C_nat_econ_last,3,3.0345748692259287,0.012837730157314448,3.0094129181175924,3.059736820334265,3,Racial resentment index,National retrospective economic pessimism,3.0345748692259287,0,-0.0251619511083363,0.0251619511083363
O1_rr_index,C_nat_econ_last,4,3.085943359685806,0.012959000482381107,3.060543718740339,3.111343000631273,3,Racial resentment index,National retrospective economic pessimism,3.0345748692259287,0.051368490459877236,0.02596884951441014,0.07676813140534433
O1_rr_index,C_nat_econ_last,5,3.1373118501456827,0.013349162335358086,3.111147491968381,3.1634762083229844,3,Racial resentment index,National retrospective economic pessimism,3.0345748692259287,0.10273698091975403,0.07657262274245236,0.1289013390970557
O1_rr_index,C_nat_econ_next,1,3.0580966284659694,0.01625539537309699,3.0262360535346993,3.0899572033972396,3,Racial resentment index,National prospective economic pessimism,3.0740485021925053,-0.015951873726535837,-0.047812448657805984,0.01590870120473431
O1_rr_index,C_nat_econ_next,2,3.0660725653292373,0.013935661438534305,3.03875866890971,3.0933864617487647,3,Racial resentment index,National prospective economic pessimism,3.0740485021925053,-0.007975936863267918,-0.035289833282795335,0.0193379595562595
O1_rr_index,C_nat_econ_next,3,3.0740485021925053,0.013503272474067136,3.0475820881433338,3.1005149162416767,3,Racial resentment index,National prospective economic pessimism,3.0740485021925053,0,-0.026466414049171494,0.026466414049171494
O1_rr_index,C_nat_econ_next,4,3.0820244390557727,0.015121011939485054,3.052387255654382,3.1116616224571634,3,Racial resentment index,National prospective economic pessimism,3.0740485021925053,0.007975936863267474,-0.02166124653812318,0.03761312026465813
O1_rr_index,C_nat_econ_next,5,3.09000037591904,0.01825164549910202,3.0542271507408003,3.12577360109728,3,Racial resentment index,National prospective economic pessimism,3.0740485021925053,0.01595187372653495,-0.01982135145170494,0.051725098904774836
O1_rr_index,C_pers_fin_last,1,2.9916120588417083,0.016582517305322498,2.959110324923276,3.0241137927601405,3,Racial resentment index,Personal financial retrospective pessimism,3.0582354298838257,-0.06662337104211735,-0.09912510496054949,-0.03412163712368521
O1_rr_index,C_pers_fin_last,2,3.0249237443627672,0.014350705749703634,2.996796361093348,3.0530511276321866,3,Racial resentment index,Personal financial retrospective pessimism,3.0582354298838257,-0.033311685521058454,-0.06143906879047778,-0.005184302251639128
O1_rr_index,C_pers_fin_last,3,3.0582354298838257,0.013452607283722079,3.0318683196077303,3.084602540159921,3,Racial resentment index,Personal financial retrospective pessimism,3.0582354298838257,0,-0.026367110276095396,0.026367110276095396
O1_rr_index,C_pers_fin_last,4,3.091547115404884,0.01414459408494095,3.0638237109984,3.1192705198113684,3,Racial resentment index,Personal financial retrospective pessimism,3.0582354298838257,0.033311685521058454,0.005588281114574212,0.061035089927542696
O1_rr_index,C_pers_fin_last,5,3.1248588009259426,0.016224470802083422,3.0930588381538593,3.156658763698026,3,Racial resentment index,Personal financial retrospective pessimism,3.0582354298838257,0.06662337104211691,0.03482340827003361,0.09842333381420021
O1_rr_index,C_fin_nextyear,1,3.0183990488629053,0.017067662852903148,2.9849464296712154,3.0518516680545953,3,Racial resentment index,Personal financial prospective worry,3.0783916967306455,-0.05999264786774017,-0.09344526705943013,-0.02654002867605021
O1_rr_index,C_fin_nextyear,2,3.0483953727967754,0.014160035825688906,3.020641702578425,3.0761490430151257,3,Racial resentment index,Personal financial prospective worry,3.0783916967306455,-0.029996323933870084,-0.057749994152220374,-0.0022426537155197934
O1_rr_index,C_fin_nextyear,3,3.0783916967306455,0.01348839957304645,3.0519544335674746,3.1048289598938164,3,Racial resentment index,Personal financial prospective worry,3.0783916967306455,0,-0.026437263163170854,0.026437263163170854
O1_rr_index,C_fin_nextyear,4,3.1083880206645156,0.01534913810715334,3.078303709974495,3.138472331354536,3,Racial resentment index,Personal financial prospective worry,3.0783916967306455,0.029996323933870084,-8.798675615029339e-5,0.06008063462389046
O1_rr_index,C_fin_nextyear,5,3.1383843445983857,0.019012731717344362,3.1011193904323906,3.1756492987643807,3,Racial resentment index,Personal financial prospective worry,3.0783916967306455,0.05999264786774017,0.0227276937017451,0.09725760203373524
O4_welfare_binary,C_nat_econ_last,1,0.5293827230788457,0.04540840182289798,0.44038225550596566,0.6183831906517258,3,Welfare spending opposition,National retrospective economic pessimism,0.5209829692445633,0.008399753834282375,-0.08060071373859767,0.09740022140716242
O4_welfare_binary,C_nat_econ_last,2,0.5251828461617045,0.042792690760272534,0.44130917227157035,0.6090565200518387,3,Welfare spending opposition,National retrospective economic pessimism,0.5209829692445633,0.004199876917141188,-0.07967379697299298,0.08807355080727541
O4_welfare_binary,C_nat_econ_last,3,0.5209829692445633,0.04041486281678566,0.44176983812366344,0.6001961003654632,3,Welfare spending opposition,National retrospective economic pessimism,0.5209829692445633,0,-0.0792131311208999,0.0792131311208999
O4_welfare_binary,C_nat_econ_last,4,0.5167830923274221,0.03831922778574269,0.4416774058673665,0.5918887787874778,3,Welfare spending opposition,National retrospective economic pessimism,0.5209829692445633,-0.004199876917141188,-0.07930556337719685,0.07090580954291448
O4_welfare_binary,C_nat_econ_last,5,0.512583215410281,0.03655435168748595,0.4409366861028085,0.5842297447177535,3,Welfare spending opposition,National retrospective economic pessimism,0.5209829692445633,-0.008399753834282375,-0.08004628314175483,0.06324677547319013
O4_welfare_binary,C_nat_econ_next,1,0.5415550312040971,0.05147597954333538,0.4406621112991598,0.6424479511090344,3,Welfare spending opposition,National prospective economic pessimism,0.5154535605881928,0.026101470615904288,-0.07479144928903303,0.1269943905208416
O4_welfare_binary,C_nat_econ_next,2,0.528504295896145,0.044577642603196896,0.44113211639387906,0.615876475398411,3,Welfare spending opposition,National prospective economic pessimism,0.5154535605881928,0.0130507353079522,-0.07432144419431375,0.10042291481021814
O4_welfare_binary,C_nat_econ_next,3,0.5154535605881928,0.03965224796006988,0.43773515458645584,0.5931719665899298,3,Welfare spending opposition,National prospective economic pessimism,0.5154535605881928,0,-0.07771840600173696,0.07771840600173696
O4_welfare_binary,C_nat_econ_next,4,0.5024028252802406,0.03748573214746377,0.4289307902712116,0.5758748602892696,3,Welfare spending opposition,National prospective economic pessimism,0.5154535605881928,-0.0130507353079522,-0.08652277031698119,0.06042129970107679
O4_welfare_binary,C_nat_econ_next,5,0.4893520899722884,0.038546131571040386,0.41380167209304924,0.5649025078515275,3,Welfare spending opposition,National prospective economic pessimism,0.5154535605881928,-0.0261014706159044,-0.10165188849514356,0.04944894726333471
O4_welfare_binary,C_pers_fin_last,1,0.5716260104002558,0.036686297081301576,0.49972086812090477,0.6435311526796069,3,Welfare spending opposition,Personal financial retrospective pessimism,0.5221583837625845,0.04946762663767135,-0.02243751564167973,0.12137276891702242
O4_welfare_binary,C_pers_fin_last,2,0.5468921970814201,0.03806609183564447,0.472282657083557,0.6215017370792832,3,Welfare spending opposition,Personal financial retrospective pessimism,0.5221583837625845,0.024733813318835618,-0.04987572667902751,0.09934335331669875
O4_welfare_binary,C_pers_fin_last,3,0.5221583837625845,0.039463789919351455,0.44480935552065565,0.5995074120045134,3,Welfare spending opposition,Personal financial retrospective pessimism,0.5221583837625845,0,-0.07734902824192885,0.07734902824192891
O4_welfare_binary,C_pers_fin_last,4,0.4974245704437489,0.040877554905038936,0.41730456282987255,0.5775445780576252,3,Welfare spending opposition,Personal financial retrospective pessimism,0.5221583837625845,-0.024733813318835618,-0.10485382093271195,0.05538619429504066
O4_welfare_binary,C_pers_fin_last,5,0.47269075712491326,0.04230577606293279,0.389771436041565,0.5556100782082616,3,Welfare spending opposition,Personal financial retrospective pessimism,0.5221583837625845,-0.049467626637671236,-0.1323869477210195,0.03345169444567708
O4_welfare_binary,C_fin_nextyear,1,0.5028402531781655,0.022945686867528875,0.4578667069178089,0.547813799438522,3,Welfare spending opposition,Personal financial prospective worry,0.517145768808491,-0.01430551563032545,-0.05927906189068205,0.030668030630031096
O4_welfare_binary,C_fin_nextyear,2,0.5099930109933282,0.031844629850872434,0.4475775364856182,0.5724084855010382,3,Welfare spending opposition,Personal financial prospective worry,0.517145768808491,-0.00715275781516278,-0.06956823232287274,0.05526271669254723
O4_welfare_binary,C_fin_nextyear,3,0.517145768808491,0.041274052177494185,0.43624862654060237,0.5980429110763795,3,Welfare spending opposition,Personal financial prospective worry,0.517145768808491,0,-0.08089714226788858,0.08089714226788858
O4_welfare_binary,C_fin_nextyear,4,0.5242985266236536,0.05094021342963719,0.4244557083015647,0.6241413449457425,3,Welfare spending opposition,Personal financial prospective worry,0.517145768808491,0.007152757815162669,-0.09269006050692624,0.10699557613725152
O4_welfare_binary,C_fin_nextyear,5,0.5314512844388163,0.06073017646655171,0.4124201385643749,0.6504824303132577,3,Welfare spending opposition,Personal financial prospective worry,0.517145768808491,0.014305515630325338,-0.10472563024411602,0.13333666150476675
O5_aidpoor_binary,C_nat_econ_last,1,0.2701081543076019,0.03403790429437028,0.20339386189063613,0.3368224467245676,3,Aid to poor opposition,National retrospective economic pessimism,0.30076401896756555,-0.030655864659963672,-0.09737015707692942,0.036058427757002076
O5_aidpoor_binary,C_nat_econ_last,2,0.2854360866375837,0.02762340637021613,0.23129421015196006,0.3395779631232073,3,Aid to poor opposition,National retrospective economic pessimism,0.30076401896756555,-0.015327932329981864,-0.0694698088156055,0.038813944155641766
O5_aidpoor_binary,C_nat_econ_last,3,0.30076401896756555,0.021481104097937607,0.25866105493560787,0.34286698299952323,3,Aid to poor opposition,National retrospective economic pessimism,0.30076401896756555,0,-0.04210296403195768,0.04210296403195768
O5_aidpoor_binary,C_nat_econ_last,4,0.3160919512975473,0.015929051763043208,0.2848710098419826,0.347312892753112,3,Aid to poor opposition,National retrospective economic pessimism,0.30076401896756555,0.015327932329981753,-0.015893009125582946,0.04654887378554645
O5_aidpoor_binary,C_nat_econ_last,5,0.3314198836275291,0.011829756967238505,0.3082335599717416,0.3546062072833166,3,Aid to poor opposition,National retrospective economic pessimism,0.30076401896756555,0.03065586465996356,0.007469541004176072,0.05384218831575105
O5_aidpoor_binary,C_nat_econ_next,1,0.29452558537498563,0.02575224461722845,0.24405118592521788,0.3449999848247534,3,Aid to poor opposition,National prospective economic pessimism,0.31549191576254143,-0.020966330387555798,-0.07144072983732355,0.029508069062211983
O5_aidpoor_binary,C_nat_econ_next,2,0.30500875056876353,0.020498199274120634,0.26483227999148706,0.34518522114604,3,Aid to poor opposition,National prospective economic pessimism,0.31549191576254143,-0.010483165193777899,-0.05065963577105437,0.02969330538349857
O5_aidpoor_binary,C_nat_econ_next,3,0.31549191576254143,0.016172172307484255,0.2837944580398723,0.34718937348521056,3,Aid to poor opposition,National prospective economic pessimism,0.31549191576254143,0,-0.03169745772266913,0.03169745772266913
O5_aidpoor_binary,C_nat_econ_next,4,0.3259750809563193,0.013684555301863978,0.29915335256466585,0.3527968093479727,3,Aid to poor opposition,National prospective economic pessimism,0.31549191576254143,0.010483165193777844,-0.016338563197875577,0.037304893585431265
O5_aidpoor_binary,C_nat_econ_next,5,0.3364582461500972,0.014048482604252765,0.30892322024576174,0.3639932720544326,3,Aid to poor opposition,National prospective economic pessimism,0.31549191576254143,0.020966330387555743,-0.006568695516779688,0.04850135629189117
