term,estimate,std.error,statistic,df,p.value,sig,ci_lo,ci_hi,treatment,model,t_label
T_nat_retro_bin,0.08391364696592203,0.0338752640196597,2.477136323342669,2.434877742239645,0.10914879413265938,,0.017518129487389025,0.15030916444445502,T_nat_retro_bin,retro: national vs. personal -> RR,National retrospective pessimism (binary)
T_pers_retro_bin,0.01872201672323961,0.014540046578630311,1.2876173829288549,3.981103335556169,0.26763229634327246,,-0.009776474570875798,0.04722050801735502,T_pers_retro_bin,retro: national vs. personal -> RR,Personal retrospective pessimism (binary)
T_nat_prosp_bin,0.02797402062676894,0.013349099018282436,2.095573685419274,5.180347653412507,0.08831818508333132,.,0.0018097865509353675,0.054138254702602515,T_nat_prosp_bin,prosp: national vs. personal -> RR,National prospective pessimism (binary)
T_pers_prosp_bin,0.017419468433500594,0.017885760890995497,0.9739294033764224,3.1182824543802026,0.3994464253991834,,-0.01763662291285058,0.05247555977985177,T_pers_prosp_bin,prosp: national vs. personal -> RR,Personal prospective pessimism (binary)
T_nat_retro_bin,0.08899975886142135,0.03521432961117041,2.5273733688569084,2.610579373031082,0.0981287013045829,.,0.019979672823527347,0.15801984489931536,T_nat_retro_bin,all four -> RR,National retrospective pessimism (binary)
T_nat_prosp_bin,-0.008063971660939681,0.010234507232052726,-0.7879198751928868,1071.1486582157281,0.43091789723635054,,-0.028123605835763024,0.011995662513883662,T_nat_prosp_bin,all four -> RR,National prospective pessimism (binary)
T_pers_retro_bin,0.009484286880668772,0.014553102577046844,0.6517020566890933,7.568773508594371,0.5338768250580872,,-0.019039794170343044,0.03800836793168059,T_pers_retro_bin,all four -> RR,Personal retrospective pessimism (binary)
T_pers_prosp_bin,0.015063615221867449,0.01886318629599125,0.7985721492380492,4.0392355844372485,0.4688591964431381,,-0.021908229918275395,0.052035460362010295,T_pers_prosp_bin,all four -> RR,Personal prospective pessimism (binary)
