outcome,treatment,outcome_label,treatment_label,variable,importance,rank,variable_label,importance_norm
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241281x,0.008894599096685718,44,Spending: aid to the poor,0.10019848664127022
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241039,0.008384341300485118,45,Pre-election presidential vote,0.09445038507756279
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241551,0.0081353971296879,46,Gender identity,0.09164600582438863
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241320,0.007784496300895685,47,Favor felon voting rights,0.0876930753298317
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241579,0.007646589251667579,48,Self-censorship frequency,0.08613953958531813
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241378x,0.00722163605943552,49,Gay/lesbian job protection (summary),0.08135240232458482
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241025,0.005636660079530959,50,Party of registration,0.06349750039782147
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241554,0.0049810205174240195,51,Stock market investment,0.056111659710551015
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241571,0.004926426835612429,52,Has health insurance,0.055496656803929324
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241232,0.004879401350830268,53,Government waste,0.054966910341213496
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241302,0.004305310761533822,54,Abortion stance (STD),0.048499726422386515
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241497,0.004058959525720892,55,Union membership (HH),0.045724556823133866
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241104,0.002219586781860922,56,2020 presidential vote recall,0.02500385167379847
O1_rr_index,C_nat_econ_last,Racial resentment index,National retrospective economic pessimism,V241117,0.0016157764204543206,57,Right track / wrong track,0.018201871756142195
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241539,0.11221698096961977,1,Financial worry (current),1
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241119,0.06369768084843927,2,Emotion: afraid,0.567629607373629
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241483,0.03498940277208906,3,Employment status,0.31180131981595244
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241465x,0.03310927443900643,4,Education,0.29504691850487424
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241236,0.031495375484284806,5,Party better: economy,0.2806649689926293
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241118,0.028072782741597888,6,Emotion: hopeful,0.25016519335160126
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241608,0.025963923715305138,7,Sexism: women seek control over men,0.2313725025478478
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241177,0.02531090280528935,8,Ideology (liberal-conservative),0.2255532325552557
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241567x,0.02467056974846197,9,Household income (6-cat),0.21984702792121072
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241125,0.023852499630916676,10,Emotion: irritated,0.21255695372319994
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241039,0.022514970664450823,11,Pre-election presidential vote,0.20063782210061637
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241607,0.022274792940281504,12,Sexism: women over-interpret remarks,0.19849752459756428
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241621,0.022099591106276534,13,Life satisfaction,0.1969362472178743
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241577,0.021815847239429104,14,Felt depressed/hopeless (PHQ-2),0.19440771843020135
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241126,0.02170798075315853,15,Emotion: nervous,0.19344648702530573
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241385x,0.021580559946110862,16,Gay marriage (summary),0.1923110010592186
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241540,0.02059448155794584,17,Able to make housing payments,0.18352375353531686
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241121,0.019939561408986856,18,Emotion: angry,0.17768755884089454
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241381x,0.019799281122548685,19,Gay/lesbian couples adopt (summary),0.1764374781024353
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241252,0.019361369154079894,20,Guaranteed job/income scale,0.17253510998769028
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241422,0.018272213196663802,21,V241422,0.1628293065700154
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241378x,0.01812734837712438,22,Gay/lesbian job protection (summary),0.16153837164833326
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241266x,0.018068283840823297,23,Spending: public schools,0.16101202941571632
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241302,0.01784208066769117,24,Abortion stance (STD),0.1589962634311247
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241578,0.01760417348327638,25,Too sensitive / easily offended,0.15687619940552774
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241397,0.017502663047146465,26,Best way to deal with urban unrest,0.1559716087165535
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241275x,0.01748238336697541,27,Spending: welfare programs,0.15579089025491047
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241255,0.01669317635975863,28,Govt assistance to Blacks scale,0.148758024102234
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241281x,0.016355354956054682,29,Spending: aid to the poor,0.14574759376642407
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241239,0.015984130732024125,30,Spending & services scale,0.14243950063450264
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241120,0.014332278224988124,31,Emotion: outraged,0.1277193353550321
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241420,0.01409628597009378,32,Religion (denomination),0.1256163358548207
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241570,0.013978694082140666,33,Trouble concentrating (past week),0.12456843840706322
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241579,0.013883144260617979,34,Self-censorship frequency,0.12371696458646066
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241004,0.013296019914138,35,Attention to politics,0.11848491912055271
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241290x,0.012963947080191785,36,DEI approval (summary),0.11552571605630242
